mpi_ranks,omp_threads,width,height,local_width,local_height,elapsed_seconds,fom_mlups,task_clock_seconds,cpu_utilization,weak_efficiency
1,1,800,160,800,160,15.9547,174.81,15.2336,0.957,1.0000
2,1,1600,160,800,160,30.0637,351.30,58.6278,1.951,0.5307
4,1,3200,160,800,160,110.6629,373.40,439.1227,3.969,0.1442
8,1,6400,160,800,160,348.4227,471.87,2778.4105,7.975,0.0458
