run_name,version,mpi_ranks,omp_threads,fom_mlups,ipc,l1_miss_pct,cache_miss_pct,cpu_utilization
v9-np1-omp8,v9,1,8,176.72,0.97,24.77,3.88,1.68
v12-np2-omp1,v12,2,1,375.25,1.81,22.05,4.89,1.83
