symbol,percent
start_thread,72.17
"collision(Mesh*, Mesh const*) [clone ._omp_fn.0]",31.84
"propagation(Mesh*, Mesh const*) [clone ._omp_fn.0]",28.21
clone3,31.69
"propagation(Mesh*, Mesh const*)",3.0
GOMP_parallel,10.52
main,7.6
__memmove_avx512_unaligned_erms,1.62
