symbol,percent
main,73.34
"collision(Mesh*, Mesh const*)",37.4
"propagation(Mesh*, Mesh const*)",26.15
"lbm_comm_halo_exchange(lbm_comm_t_s*, Mesh*)",6.38
PMPI_Sendrecv,5.09
mca_pml_ob1_send,4.63
opal_progress,2.51
__memmove_avx512_unaligned_erms,2.66
