version,run_name,mpi_ranks,omp_threads,fom_mlups
v9,v9-np4-omp2,4,2,586.41
v10,v10-np4-omp2,4,2,629.13
v11,v11-np4-omp2,4,2,578.35
v12,v12-np8-omp1,8,1,659.93
